Date,Hour,From (Coordinates),To (Coordinates),Distance,Time (Usual),Time (Now),Time (Range)
2022-07-28,05-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 31 min
2022-07-28,05-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,26 - 35 min
2022-07-28,05-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,26 - 31 min
2022-07-28,05-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,28 min,29 - 42 min
2022-07-28,05-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,27 min,25 - 32 min
2022-07-28,06-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,32 min,33 - 55 min
2022-07-28,06-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,25 - 33 min
2022-07-28,08-19,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,44 min,33 - 54 min
2022-07-28,08-19,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,35 min,26 - 39 min
2022-07-28,08-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,42 min,32 - 50 min
2022-07-28,08-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,34 min,26 - 39 min
2022-07-28,08-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,39 min,30 - 45 min
2022-07-28,08-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,26 - 39 min
2022-07-28,09-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,37 min,29 - 43 min
2022-07-28,09-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 39 min
2022-07-28,09-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,35 min,28 - 42 min
2022-07-28,09-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-28,09-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,33 min,28 - 41 min
2022-07-28,09-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 38 min
2022-07-28,09-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 40 min
2022-07-28,09-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 39 min
2022-07-28,10-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,28 - 41 min
2022-07-28,10-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-28,10-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-28,10-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 39 min
2022-07-28,10-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-28,10-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-28,10-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,28 - 42 min
2022-07-28,10-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,28 min,26 - 40 min
2022-07-28,11-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-28,11-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-28,11-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-28,11-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,27 - 40 min
2022-07-28,11-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-28,11-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 40 min
2022-07-28,11-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-28,11-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,26 - 41 min
2022-07-28,12-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-28,12-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,27 - 41 min
2022-07-28,12-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-28,12-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,29 min,27 - 42 min
2022-07-28,12-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-28,12-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 42 min
2022-07-28,12-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-28,12-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 43 min
2022-07-28,13-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-28,13-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 43 min
2022-07-28,13-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-28,13-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 42 min
2022-07-28,13-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-28,13-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,30 min,27 - 43 min
2022-07-28,13-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 41 min
2022-07-28,13-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,27 - 44 min
2022-07-28,14-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-28,14-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,27 - 43 min
2022-07-28,14-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 42 min
2022-07-28,14-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,28 - 44 min
2022-07-28,14-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-28,14-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,28 - 44 min
2022-07-28,14-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,30 min,27 - 41 min
2022-07-28,14-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,32 min,28 - 44 min
2022-07-28,15-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-28,15-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,31 min,29 - 46 min
2022-07-28,15-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,31 min,27 - 42 min
2022-07-28,15-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,34 min,30 - 54 min
2022-07-28,15-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,32 min,27 - 43 min
2022-07-28,15-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,39 min,31 - 59 min
2022-07-28,15-46,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,32 min,27 - 43 min
2022-07-28,15-46,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",30.6 km,30 min,42 min,32 min - 1 hr 2 min
2022-07-28,16-01,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,33 min,28 - 47 min
2022-07-28,16-01,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.7 km,36 min,41 min,35 - 59 min
2022-07-28,16-16,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,28 - 48 min
2022-07-28,16-16,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.0 km,36 min,44 min,36 min - 1 hr
2022-07-28,16-31,"-33.81507725499659,18.671698314355297","-33.926444610865296,18.445965448645833",30.9 km,31 min,34 min,28 - 51 min
2022-07-28,16-31,"-33.926444610865296,18.445965448645833","-33.81507725499659,18.671698314355297",37.9 km,36 min,52 min,38 min - 1 hr 10 min
